census_tract,assoc_degree,bach_degree,grad_or_pro_degree,hs_diploma_or_ged,less_than_9th,some_college,some_hs
251800,4.13%,3.74%,0.99%,26.60%,0.0332,15.30%,11.50%
251900,8.89%,3.52%,1.15%,20.10%,0.0367,20.90%,11.00%
252000,6.79%,4.92%,2.69%,29.40%,0.0402,16.60%,7.00%
252101,7.15%,10.10%,3.52%,22.90%,0.018,14.70%,5.88%
252102,10.50%,7.85%,2.27%,27.90%,0.0074,9.81%,7.78%
252201,4.22%,6.54%,2.44%,16.00%,0.0073,15.50%,12.00%
252202,5.03%,4.62%,3.12%,18.60%,0.0228,15.60%,16.30%
260100,3.22%,6.45%,0.75%,30.20%,0.0107,14.30%,11.20%
260200,7.32%,2.04%,0.48%,18.10%,0.0072,23.80%,9.38%
260300,3.83%,3.21%,0.00%,27.40%,0,21.50%,10.50%
260400,3.13%,0.60%,0.00%,21.40%,0.0168,19.60%,16.00%
260500,4.64%,2.98%,0.79%,23.60%,0.0227,17.10%,20.30%
260600,1.90%,0.48%,0.48%,23.30%,0.0143,20.80%,14.60%
260700,5.25%,2.49%,1.85%,20.10%,0.011,18.70%,14.90%
260800,7.56%,1.74%,2.45%,29.10%,0,9.79%,17.50%
260900,0.33%,1.85%,0.00%,23.90%,0.0239,23.00%,18.40%
261000,4.46%,5.11%,0.52%,21.40%,0.0273,15.70%,11.00%
270500,1.95%,3.81%,4.49%,16.00%,0.0653,22.00%,13.20%
271200,7.51%,3.80%,0.11%,26.50%,0.0349,16.90%,16.90%
271300,3.79%,6.31%,3.23%,26.10%,0.0154,17.30%,10.50%
271400,5.92%,11.40%,3.13%,16.60%,0.0187,18.60%,13.30%
271500,7.11%,6.92%,2.40%,26.50%,0.0194,19.70%,6.01%
271800,1.25%,4.76%,2.48%,42.90%,0,5.17%,4.97%
280100,1.59%,39.90%,37.90%,2.36%,0,3.82%,0.00%
280400,5.30%,10.40%,7.80%,30.10%,0.014,21.90%,10.20%
280800,5.36%,9.44%,3.45%,16.40%,0.0115,22.60%,9.94%
280900,4.47%,10.20%,7.24%,15.40%,0.0216,23.10%,12.30%
281900,0.60%,34.80%,37.60%,4.01%,0.0072,1.14%,0.00%
282700,3.05%,19.50%,13.60%,14.50%,0.0223,13.00%,5.46%
282800,2.51%,23.20%,19.40%,6.02%,0.0294,12.80%,0.36%
283100,3.05%,20.90%,25.00%,4.87%,0.0084,3.98%,0.00%
283200,1.59%,23.60%,26.30%,7.72%,0.0036,2.55%,1.45%
283800,3.92%,26.60%,19.00%,11.90%,0.0121,11.40%,6.55%
290900,2.88%,3.44%,0.50%,24.30%,0.0204,21.50%,9.61%
291200,2.23%,7.91%,2.17%,21.30%,0,19.30%,9.05%
291600,0.00%,6.27%,7.16%,19.10%,0.0845,21.10%,3.45%
292200,4.66%,8.91%,2.38%,24.60%,0.007,17.20%,8.86%
292400,2.38%,4.38%,2.70%,20.20%,0.0211,19.50%,14.20%
