geoid,name,B01003001,"B01003001, Error"
14000US17031243200,"Census Tract 2432, Cook, IL",2318,239
14000US17031243300,"Census Tract 2433, Cook, IL",2358,245
14000US17031243400,"Census Tract 2434, Cook, IL",2804,281
14000US17031243500,"Census Tract 2435, Cook, IL",3263,297
14000US17031250200,"Census Tract 2502, Cook, IL",2748,279
14000US17031250300,"Census Tract 2503, Cook, IL",4827,502
14000US17031250400,"Census Tract 2504, Cook, IL",4438,608
14000US17031250500,"Census Tract 2505, Cook, IL",7669,441
14000US17031250600,"Census Tract 2506, Cook, IL",4068,417
14000US17031250700,"Census Tract 2507, Cook, IL",5194,750
14000US17031250800,"Census Tract 2508, Cook, IL",2415,386
14000US17031251000,"Census Tract 2510, Cook, IL",907,138
14000US17031251100,"Census Tract 2511, Cook, IL",4103,548
14000US17031251200,"Census Tract 2512, Cook, IL",4351,602
14000US17031251300,"Census Tract 2513, Cook, IL",4446,522
14000US17031251400,"Census Tract 2514, Cook, IL",4544,727
14000US17031251500,"Census Tract 2515, Cook, IL",4194,620
14000US17031251600,"Census Tract 2516, Cook, IL",4063,583
14000US17031251700,"Census Tract 2517, Cook, IL",1321,229
14000US17031251800,"Census Tract 2518, Cook, IL",5275,670
14000US17031251900,"Census Tract 2519, Cook, IL",4862,721
14000US17031252000,"Census Tract 2520, Cook, IL",5738,808
14000US17031252101,"Census Tract 2521.01, Cook, IL",1390,271
14000US17031252102,"Census Tract 2521.02, Cook, IL",6980,1264
14000US17031252201,"Census Tract 2522.01, Cook, IL",2927,323
14000US17031252202,"Census Tract 2522.02, Cook, IL",4757,686
14000US17031260100,"Census Tract 2601, Cook, IL",1249,184
14000US17031260200,"Census Tract 2602, Cook, IL",1223,268
14000US17031260300,"Census Tract 2603, Cook, IL",1583,274
14000US17031260400,"Census Tract 2604, Cook, IL",1292,245
14000US17031260500,"Census Tract 2605, Cook, IL",1587,277
14000US17031260600,"Census Tract 2606, Cook, IL",1989,435
14000US17031260700,"Census Tract 2607, Cook, IL",1774,323
14000US17031260800,"Census Tract 2608, Cook, IL",2681,412
14000US17031260900,"Census Tract 2609, Cook, IL",1379,343
14000US17031261000,"Census Tract 2610, Cook, IL",2398,358
